Date,Open,High,Low,Close,Adj Close,Volume
2015-07-07,3828.790039,3855.060059,3781.629883,3850.659912,3850.659912,0
2015-07-08,3844.979980,3844.979980,3783.929932,3787.669922,3787.669922,0
2015-07-09,3793.340088,3838.659912,3793.340088,3796.260010,3796.260010,0
2015-07-10,3798.909912,3851.780029,3798.909912,3843.100098,3843.100098,0
2015-07-13,3849.760010,3887.919922,3849.760010,3885.969971,3885.969971,0
2015-07-14,3886.219971,3908.850098,3883.530029,3903.310059,3903.310059,0
2015-07-15,3903.469971,3912.969971,3891.419922,3900.500000,3900.500000,0
2015-07-16,3906.429932,3931.969971,3906.429932,3931.850098,3931.850098,0
2015-07-17,3936.510010,3939.750000,3923.699951,3936.219971,3936.219971,0
2015-07-20,3936.699951,3947.729980,3930.810059,3939.350098,3939.350098,0
2015-07-21,3938.139893,3939.639893,3915.649902,3922.699951,3922.699951,0
2015-07-22,3921.260010,3921.709961,3906.270020,3913.750000,3913.750000,0
2015-07-23,3914.020020,3919.040039,3885.270020,3891.790039,3891.790039,0
2015-07-24,3891.969971,3898.709961,3845.489990,3850.149902,3850.149902,0
2015-07-27,3847.459961,3847.459961,3820.320068,3827.929932,3827.929932,0
2015-07-28,3833.699951,3879.669922,3830.669922,3875.370117,3875.370117,0
2015-07-29,3878.530029,3907.969971,3877.530029,3904.209961,3904.209961,0
2015-07-30,3901.209961,3908.040039,3879.340088,3904.639893,3904.639893,0
2015-07-31,3910.179932,3915.030029,3892.530029,3895.800049,3895.800049,0
2015-08-03,3897.010010,3899.250000,3865.219971,3885.070068,3885.070068,0
