,sixtyforty,riskparity
2019-12-03,370.39352475738525,386.0614369812009
2019-12-04,371.0006965103149,385.28688760375957
2019-12-05,371.03670944976807,384.6910513000486
2019-12-06,372.65332086944574,385.3804882354735
2019-12-09,372.1091012039184,385.18599974060044
2019-12-10,371.8655364151001,384.98438006591783
2019-12-11,373.0790765151977,387.03994137573227
2019-12-12,373.7810916519164,385.52688253784163
2019-12-13,374.7631565628051,387.8430886993407
2019-12-16,375.64757453155516,387.45609651184066
2019-12-17,375.59616730499266,387.23641242980943
2019-12-18,375.00844556427,385.68570170593244
2019-12-19,376.05634659576407,386.7941625976561
2019-12-20,377.15285376739496,387.90957182311996
2019-12-23,387.39632346343996,397.93561318969705
2019-12-24,387.61156372833244,398.48212211608865
2019-12-26,389.0096458206176,399.99715364074694
2019-12-27,389.0324781265258,400.15545370483386
2019-12-30,387.4936701736449,398.36162260437
2019-12-31,387.3361588211058,396.98770628356914
